"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-10 09:45:00";"6554,5";"7412";"8196";"526";"1162"
"2025-09-10 07:54:00";"6554";"3105";"7872";"330";"548"
"2025-09-10 07:50:00";"6554";"2643";"7872";"330";"548"
"2025-09-10 07:53:00";"6553,75";"3019";"7800";"-458";"284"
"2025-09-10 10:51:00";"6552";"9040";"9714";"458";"200"
"2025-09-10 12:03:00";"6550";"11464";"11991";"475";"151"
"2025-09-10 10:46:00";"6550";"8424";"11991";"475";"151"
"2025-09-10 12:02:00";"6549,5";"11214";"12099";"-1349";"-249"
"2025-09-10 11:07:00";"6549,5";"9725";"12099";"-1349";"-249"
"2025-09-10 12:10:00";"6549,25";"12126";"12208";"306";"-26"
"2025-09-10 11:10:00";"6549,25";"9747";"12208";"306";"-26"
"2025-09-10 07:28:00";"6542";"2434";"11042";"-244";"-1106"
"2025-09-10 15:05:00";"6539,25";"12235";"12278";"-580";"-844"
"2025-09-10 01:54:00";"6539,25";"1604";"12278";"-580";"-844"
"2025-09-09 17:53:00";"6534,75";"829";"6071";"475";"305"
"2025-09-09 17:55:00";"6534,25";"907";"5341";"-59";"37"
"2025-09-09 17:25:00";"6534,25";"425";"5341";"-59";"37"
"2025-09-09 17:01:00";"6533,75";"199";"5696";"354";"16"
"2025-09-09 17:02:00";"6532,5";"210";"6137";"95";"-129"
"2025-09-10 03:35:00";"6532,25";"1819";"7698";"-422";"18"
"2025-09-09 19:42:00";"6532,25";"1120";"7698";"-422";"18"
"2025-09-09 17:04:00";"6532";"287";"6870";"-364";"-448"
"2025-09-09 17:00:00";"6532";"110";"6870";"-364";"-448"
"2025-09-09 19:15:00";"6531,75";"1017";"5335";"-253";"-531"
