"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-03 12:21:00";"6447";"12525";"13810";"-1436";"-544"
"2025-09-03 12:18:00";"6450";"12445";"13594";"1066";"1366"
"2025-09-03 11:27:00";"6447";"11967";"13810";"-1436";"-544"
"2025-09-03 11:20:00";"6450";"11640";"13594";"1066";"1366"
"2025-09-03 11:19:00";"6447";"11552";"13810";"-1436";"-544"
"2025-09-03 09:20:00";"6450";"7280";"13594";"1066";"1366"
"2025-09-03 09:19:00";"6448,75";"6728";"11528";"794";"316"
"2025-09-03 08:52:00";"6450";"5596";"13594";"1066";"1366"
"2025-09-03 08:30:00";"6450,5";"2771";"11303";"-49";"433"
"2025-09-03 02:27:00";"6434,5";"2480";"4688";"184";"728"
"2025-09-03 02:19:00";"6430,5";"2402";"9840";"-792";"42"
"2025-09-03 02:07:00";"6434,5";"2324";"4688";"184";"728"
"2025-09-03 00:17:00";"6430,5";"2005";"9840";"-792";"42"
"2025-09-02 19:02:00";"6434,5";"940";"4688";"184";"728"
"2025-09-02 18:30:00";"6437";"936";"4039";"-117";"-225"
"2025-09-02 17:23:00";"6443";"674";"7814";"-184";"-672"
"2025-09-02 17:16:00";"6444,5";"593";"8887";"-877";"-749"
"2025-09-02 17:12:00";"6443";"480";"7814";"-184";"-672"
"2025-09-02 17:05:00";"6444,5";"372";"8887";"-877";"-749"
"2025-09-02 17:02:00";"6445,5";"245";"9812";"230";"44"
"2025-09-02 17:01:00";"6447,25";"211";"13267";"-73";"313"
"2025-09-02 17:00:00";"6446,25";"148";"11489";"199";"-353"
