"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-02 14:24:00";"6412";"7844";"8215";"405";"-171"
"2025-09-02 12:03:00";"6393";"6354";"7726";"96";"-228"
"2025-09-02 09:39:00";"6412,5";"5925";"7577";"289";"351"
"2025-09-02 09:37:00";"6415,5";"5448";"6326";"548";"494"
"2025-09-02 09:32:00";"6414";"5330";"7165";"-843";"-173"
"2025-09-02 09:19:00";"6412,5";"4655";"7577";"289";"351"
"2025-09-02 08:42:00";"6394";"3675";"7088";"416";"800"
"2025-09-02 08:37:00";"6395,25";"2802";"6135";"883";"143"
"2025-09-01 23:06:00";"6469,5";"1591";"2671";"21";"13"
"2025-09-01 22:42:00";"6468,5";"1493";"2162";"-192";"-148"
"2025-09-01 21:05:00";"6470,5";"1358";"1844";"-150";"-48"
"2025-09-01 21:04:00";"6468,5";"1317";"2162";"-192";"-148"
"2025-09-01 20:57:00";"6470,75";"1265";"1822";"426";"238"
"2025-09-01 20:55:00";"6473,75";"1191";"1191";"143";"-27"
"2025-09-01 19:35:00";"6470,75";"1107";"1822";"426";"238"
"2025-09-01 19:24:00";"6468,5";"1019";"2162";"-192";"-148"
"2025-09-01 19:00:00";"6470,75";"780";"1822";"426";"238"
"2025-09-01 17:15:00";"6480,25";"582";"708";"-26";"-40"
"2025-09-01 17:08:00";"6480";"420";"645";"-125";"79"
"2025-09-01 17:07:00";"6480,25";"336";"708";"-26";"-40"
"2025-09-01 17:06:00";"6480";"332";"645";"-125";"79"
"2025-09-01 17:05:00";"6479,25";"281";"380";"70";"8"
"2025-09-01 17:02:00";"6480";"264";"645";"-125";"79"
"2025-09-01 17:01:00";"6480,25";"167";"708";"-26";"-40"
"2025-09-01 17:00:00";"6480,5";"116";"474";"140";"96"
