"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-16 15:27:00";"6672";"16487";"16616";"8";"700"
"2025-09-16 15:10:00";"6671,5";"16067";"16507";"-493";"57"
"2025-09-16 15:06:00";"6671,75";"15986";"16272";"-544";"-194"
"2025-09-16 15:04:00";"6672";"15899";"16616";"8";"700"
"2025-09-16 15:00:00";"6668,5";"15882";"15882";"-1256";"490"
"2025-09-16 14:46:00";"6672";"14160";"16616";"8";"700"
"2025-09-16 14:27:00";"6671,5";"13880";"16507";"-493";"57"
"2025-09-16 13:42:00";"6672";"13305";"16616";"8";"700"
"2025-09-16 13:35:00";"6671,5";"12708";"16507";"-493";"57"
"2025-09-16 13:33:00";"6672";"12280";"16616";"8";"700"
"2025-09-16 12:52:00";"6668,75";"12224";"15793";"839";"865"
"2025-09-16 11:24:00";"6668";"10233";"15055";"-277";"-621"
"2025-09-16 10:09:00";"6668,75";"8538";"15793";"839";"865"
"2025-09-16 09:59:00";"6669";"8204";"14141";"-389";"-101"
"2025-09-16 09:46:00";"6668,75";"6859";"15793";"839";"865"
"2025-09-16 09:42:00";"6669";"6779";"14141";"-389";"-101"
"2025-09-16 09:26:00";"6671,5";"6266";"16507";"-493";"57"
"2025-09-16 09:25:00";"6672";"6165";"16616";"8";"700"
"2025-09-16 09:20:00";"6671,5";"5971";"16507";"-493";"57"
"2025-09-16 09:17:00";"6672";"5480";"16616";"8";"700"
"2025-09-16 09:15:00";"6671,5";"5242";"16507";"-493";"57"
"2025-09-16 08:35:00";"6684,5";"5000";"5154";"360";"-66"
"2025-09-16 08:29:00";"6685,75";"3462";"4604";"-224";"-16"
"2025-09-16 08:27:00";"6685";"3269";"4346";"-998";"-248"
"2025-09-16 08:26:00";"6684,5";"3224";"5154";"360";"-66"
"2025-09-16 08:22:00";"6684,25";"3083";"4888";"-972";"-424"
"2025-09-16 08:20:00";"6684,75";"2813";"4257";"193";"-85"
"2025-09-16 08:19:00";"6684";"2643";"4938";"-280";"-18"
"2025-09-16 08:07:00";"6684,75";"2464";"4257";"193";"-85"
"2025-09-16 08:05:00";"6685,75";"2263";"4604";"-224";"-16"
"2025-09-16 07:59:00";"6686,25";"2232";"4206";"-278";"156"
"2025-09-16 07:57:00";"6685,75";"2101";"4604";"-224";"-16"
"2025-09-16 07:44:00";"6686,5";"2017";"3507";"517";"127"
"2025-09-16 05:42:00";"6691,5";"1471";"2011";"-195";"-283"
"2025-09-16 02:28:00";"6684,75";"1456";"4257";"193";"-85"
"2025-09-16 02:09:00";"6684";"1327";"4938";"-280";"-18"
"2025-09-16 02:08:00";"6684,25";"1161";"4888";"-972";"-424"
"2025-09-16 02:06:00";"6684,75";"1108";"4257";"193";"-85"
"2025-09-15 17:41:00";"6673";"651";"12520";"696";"906"
"2025-09-15 17:20:00";"6674,5";"503";"6593";"529";"135"
"2025-09-15 17:17:00";"6674";"415";"6618";"438";"580"
"2025-09-15 17:11:00";"6674,5";"352";"6593";"529";"135"
"2025-09-15 17:02:00";"6673,5";"249";"9360";"-28";"190"
"2025-09-15 17:01:00";"6674,5";"213";"6593";"529";"135"
"2025-09-15 17:00:00";"6674,75";"114";"6200";"60";"518"
