"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-08 07:56:00";"6505";"4204";"15533";"1161";"1491"
"2025-09-08 06:19:00";"6505";"3480";"15533";"1161";"1491"
"2025-09-07 18:57:00";"6505";"1395";"15533";"1161";"1491"
"2025-09-08 12:23:00";"6504,5";"13164";"15972";"960";"812"
"2025-09-08 14:59:00";"6503";"18166";"18166";"1472";"666"
"2025-09-08 12:34:00";"6503";"13755";"18166";"1472";"666"
"2025-09-08 13:24:00";"6500";"14310";"17705";"-1215";"-681"
"2025-09-07 22:24:00";"6500";"2151";"17705";"-1215";"-681"
"2025-09-08 07:22:00";"6499,5";"3868";"16180";"46";"28"
"2025-09-08 01:43:00";"6499,5";"3022";"16180";"46";"28"
"2025-09-07 22:45:00";"6499,5";"2310";"16180";"46";"28"
"2025-09-07 18:03:00";"6499,5";"761";"16180";"46";"28"
"2025-09-08 01:42:00";"6499,25";"2994";"16523";"-927";"-475"
"2025-09-07 17:18:00";"6486,25";"404";"717";"75";"61"
"2025-09-07 17:00:00";"6484";"104";"304";"24";"150"
"2025-09-07 17:14:00";"6483,5";"399";"399";"-181";"-141"
"2025-09-07 17:02:00";"6483";"218";"284";"-74";"-84"
"2025-09-07 17:08:00";"6482,75";"326";"365";"15";"-59"
"2025-09-07 17:11:00";"6482,25";"389";"391";"21";"45"
"2025-09-07 17:07:00";"6482,25";"273";"391";"21";"45"
"2025-09-07 17:10:00";"6481,75";"336";"336";"42";"6"
"2025-09-07 17:06:00";"6481";"255";"282";"-2";"-10"
