"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-12 14:59:00";"6592,5";"21895";"21895";"-381";"-209"
"2025-09-12 14:47:00";"6593";"20889";"21839";"527";"57"
"2025-09-12 14:46:00";"6592,5";"20549";"21895";"-381";"-209"
"2025-09-12 11:27:00";"6593";"15849";"21839";"527";"57"
"2025-09-12 11:23:00";"6592,75";"15666";"21081";"-895";"15"
"2025-09-12 11:08:00";"6589,5";"15299";"18371";"1433";"1485"
"2025-09-12 11:07:00";"6589";"14932";"18562";"1118";"104"
"2025-09-12 10:59:00";"6589,5";"14443";"18371";"1433";"1485"
"2025-09-12 09:40:00";"6593";"11114";"21839";"527";"57"
"2025-09-12 09:16:00";"6589,75";"10316";"17127";"599";"725"
"2025-09-12 09:14:00";"6589";"10101";"18562";"1118";"104"
"2025-09-12 08:54:00";"6589,75";"9291";"17127";"599";"725"
"2025-09-12 08:53:00";"6589";"9013";"18562";"1118";"104"
"2025-09-12 08:48:00";"6589,75";"8251";"17127";"599";"725"
"2025-09-12 08:47:00";"6588";"7957";"18109";"-1817";"-1923"
"2025-09-12 08:32:00";"6589,75";"5413";"17127";"599";"725"
"2025-09-12 08:31:00";"6589";"4877";"18562";"1118";"104"
"2025-09-12 08:26:00";"6592";"4196";"18545";"-631";"-371"
"2025-09-12 07:28:00";"6587,75";"3314";"14937";"-1257";"-1499"
"2025-09-12 07:24:00";"6588";"3033";"18109";"-1817";"-1923"
"2025-09-12 07:06:00";"6587,75";"2876";"14937";"-1257";"-1499"
"2025-09-12 07:03:00";"6588";"2774";"18109";"-1817";"-1923"
"2025-09-12 06:53:00";"6587,75";"2639";"14937";"-1257";"-1499"
"2025-09-12 06:47:00";"6588";"2452";"18109";"-1817";"-1923"
"2025-09-11 23:11:00";"6591,75";"1663";"17779";"865";"723"
"2025-09-11 23:05:00";"6591,25";"1640";"17985";"-891";"489"
"2025-09-11 23:03:00";"6591";"1623";"17788";"-1246";"-562"
"2025-09-11 23:01:00";"6591,25";"1599";"17985";"-891";"489"
"2025-09-11 22:56:00";"6589,25";"1564";"15356";"-926";"-178"
"2025-09-11 20:12:00";"6591,25";"1458";"17985";"-891";"489"
"2025-09-11 20:11:00";"6591,75";"1454";"17779";"865";"723"
"2025-09-11 20:10:00";"6591,25";"1448";"17985";"-891";"489"
"2025-09-11 19:55:00";"6591,75";"1438";"17779";"865";"723"
"2025-09-11 19:21:00";"6593";"1224";"21839";"527";"57"
"2025-09-11 18:56:00";"6593,25";"1154";"18443";"219";"371"
"2025-09-11 18:29:00";"6593,5";"905";"18006";"-154";"1288"
"2025-09-11 17:30:00";"6593";"750";"21839";"527";"57"
"2025-09-11 17:22:00";"6593,5";"669";"18006";"-154";"1288"
"2025-09-11 17:08:00";"6593,75";"398";"16340";"1228";"806"
"2025-09-11 17:07:00";"6593,5";"366";"18006";"-154";"1288"
"2025-09-11 17:05:00";"6593,25";"313";"18443";"219";"371"
"2025-09-11 17:01:00";"6593";"175";"21839";"527";"57"
"2025-09-11 17:00:00";"6594,75";"100";"10873";"1425";"1273"
