"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-01 09:15:00";"6478,25";"2591";"3324";"528";"300"
"2025-09-01 09:03:00";"6478";"2321";"2861";"221";"-37"
"2025-09-01 08:14:00";"6474,75";"1932";"2301";"263";"-61"
"2025-09-01 06:19:00";"6476";"1885";"2236";"14";"210"
"2025-08-31 20:43:00";"6487,5";"1665";"1883";"245";"-113"
"2025-08-31 20:15:00";"6487,75";"1358";"1708";"186";"154"
"2025-08-31 20:14:00";"6487,25";"1349";"1817";"-397";"-221"
"2025-08-31 19:29:00";"6487,75";"1031";"1708";"186";"154"
"2025-08-31 19:01:00";"6487";"920";"1836";"-206";"-396"
"2025-08-31 17:13:00";"6483,5";"547";"2234";"792";"434"
"2025-08-31 17:04:00";"6479,25";"258";"2303";"495";"379"
"2025-08-31 17:02:00";"6476";"228";"2236";"14";"210"
"2025-08-31 17:00:00";"6479,25";"207";"2303";"495";"379"
