"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-15 14:45:00";"6670";"11549";"12067";"-253";"351"
"2025-09-15 13:32:00";"6669,5";"8378";"11609";"-699";"-349"
"2025-09-15 13:30:00";"6669,75";"8070";"10999";"-867";"-979"
"2025-09-15 13:25:00";"6672,75";"7912";"9015";"-501";"-511"
"2025-09-15 13:01:00";"6675,5";"7616";"9808";"-80";"-158"
"2025-09-15 12:47:00";"6673";"7468";"8796";"-114";"-422"
"2025-09-15 12:38:00";"6669,5";"7443";"11609";"-699";"-349"
"2025-09-15 12:37:00";"6669,75";"7218";"10999";"-867";"-979"
"2025-09-15 11:52:00";"6675,5";"7131";"9808";"-80";"-158"
"2025-09-15 11:45:00";"6675,75";"6819";"9365";"-691";"-735"
"2025-09-15 11:27:00";"6677";"6163";"9121";"305";"549"
"2025-09-15 11:07:00";"6675,75";"6132";"9365";"-691";"-735"
"2025-09-15 11:04:00";"6675,5";"5995";"9808";"-80";"-158"
"2025-09-15 11:02:00";"6675,75";"5788";"9365";"-691";"-735"
"2025-09-15 08:47:00";"6669,75";"5760";"10999";"-867";"-979"
"2025-09-15 08:45:00";"6669,5";"4994";"11609";"-699";"-349"
"2025-09-15 08:42:00";"6669,75";"4526";"10999";"-867";"-979"
"2025-09-15 08:36:00";"6669,5";"3084";"11609";"-699";"-349"
"2025-09-15 08:35:00";"6669,75";"2568";"10999";"-867";"-979"
"2025-09-15 08:30:00";"6666,75";"2318";"3677";"-421";"-89"
"2025-09-15 04:05:00";"6649";"1745";"2021";"-85";"-5"
"2025-09-15 03:03:00";"6648";"1541";"1762";"316";"216"
"2025-09-15 03:02:00";"6648,25";"1449";"1706";"-42";"-114"
"2025-09-15 02:52:00";"6655,25";"1082";"1513";"-147";"-71"
"2025-09-14 22:32:00";"6648,25";"1008";"1706";"-42";"-114"
"2025-09-14 21:43:00";"6648";"935";"1762";"316";"216"
"2025-09-14 19:54:00";"6645";"825";"1261";"3";"43"
"2025-09-14 19:50:00";"6644,25";"793";"855";"-135";"31"
"2025-09-14 19:14:00";"6645";"720";"1261";"3";"43"
"2025-09-14 19:12:00";"6644,25";"644";"855";"-135";"31"
"2025-09-14 19:10:00";"6645";"637";"1261";"3";"43"
"2025-09-14 17:30:00";"6648";"370";"1762";"316";"216"
"2025-09-14 17:23:00";"6647,75";"299";"1440";"-80";"192"
"2025-09-14 17:11:00";"6646,25";"214";"954";"74";"106"
"2025-09-14 17:04:00";"6643,25";"183";"694";"152";"92"
