"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-05 08:33:00";"6538,25";"3699";"5509";"-427";"93"
"2025-09-05 08:45:00";"6538,25";"4888";"5509";"-427";"93"
"2025-09-05 08:43:00";"6538";"4502";"5405";"451";"349"
"2025-09-05 08:40:00";"6537";"4201";"5014";"232";"-144"
"2025-09-05 08:39:00";"6535,5";"3758";"4751";"-631";"-299"
"2025-09-05 05:49:00";"6524,75";"1859";"3929";"-205";"-273"
"2025-09-05 06:37:00";"6524";"2462";"4834";"-108";"-154"
"2025-09-04 18:30:00";"6516,75";"932";"2400";"-28";"6"
"2025-09-04 17:07:00";"6516,5";"286";"2418";"-432";"-168"
"2025-09-04 18:33:00";"6516,5";"1005";"2418";"-432";"-168"
"2025-09-04 17:26:00";"6516";"628";"3196";"80";"-88"
"2025-09-04 18:37:00";"6516";"1057";"3196";"80";"-88"
"2025-09-04 17:12:00";"6515,75";"424";"3103";"-113";"-133"
"2025-09-04 17:28:00";"6515,75";"661";"3103";"-113";"-133"
"2025-09-04 17:54:00";"6515,5";"914";"2706";"-88";"36"
"2025-09-04 17:45:00";"6515";"884";"2696";"126";"-4"
"2025-09-04 17:03:00";"6515";"250";"2696";"126";"-4"
"2025-09-04 17:44:00";"6514,5";"703";"2539";"-137";"-125"
"2025-09-04 17:02:00";"6514,5";"209";"2539";"-137";"-125"
"2025-09-04 17:00:00";"6514,25";"154";"2199";"69";"-185"
"2025-09-05 11:45:00";"6480";"8379";"14611";"307";"81"
"2025-09-05 12:10:00";"6480";"10004";"14611";"307";"81"
"2025-09-05 10:48:00";"6480";"5521";"14611";"307";"81"
"2025-09-05 13:40:00";"6480";"12765";"14611";"307";"81"
"2025-09-05 11:29:00";"6476";"7520";"11746";"-1108";"-836"
"2025-09-05 11:38:00";"6476";"8178";"11746";"-1108";"-836"
"2025-09-05 11:41:00";"6476";"8308";"11746";"-1108";"-836"
"2025-09-05 11:48:00";"6476";"8698";"11746";"-1108";"-836"
"2025-09-05 11:22:00";"6475,5";"7139";"10308";"152";"-602"
"2025-09-05 11:23:00";"6475";"7395";"12708";"-1222";"-1016"
"2025-09-05 11:34:00";"6475";"8070";"12708";"-1222";"-1016"
"2025-09-05 11:40:00";"6475";"8277";"12708";"-1222";"-1016"
"2025-09-05 13:16:00";"6475";"11637";"12708";"-1222";"-1016"
"2025-09-05 11:04:00";"6475";"6362";"12708";"-1222";"-1016"
