"Date";"Price";"Volume";"Now Volume";"Now Delta T/D";"Now Delta Aggressor"
"2025-09-11 15:55:00";"6592";"19710";"19957";"1947";"1241"
"2025-09-11 15:25:00";"6592";"18770";"19957";"1947";"1241"
"2025-09-11 15:40:00";"6591,75";"19215";"19909";"1061";"1485"
"2025-09-11 15:00:00";"6591,75";"18140";"19909";"1061";"1485"
"2025-09-11 12:14:00";"6590";"8737";"16384";"158";"60"
"2025-09-11 10:46:00";"6584,5";"7593";"8703";"51";"203"
"2025-09-11 09:31:00";"6576";"6972";"6972";"-486";"112"
"2025-09-11 08:41:00";"6557";"5604";"5782";"76";"-184"
"2025-09-11 08:42:00";"6553,5";"5691";"6861";"369";"-151"
"2025-09-11 08:16:00";"6553,25";"5495";"6488";"-830";"-1070"
"2025-09-11 07:14:00";"6553";"2977";"5925";"-1377";"-613"
"2025-09-11 05:01:00";"6547,5";"2952";"3672";"592";"446"
"2025-09-10 18:23:00";"6546,75";"705";"3358";"668";"186"
"2025-09-11 02:04:00";"6546";"2471";"3630";"294";"202"
"2025-09-11 02:18:00";"6546";"2640";"3630";"294";"202"
"2025-09-10 23:08:00";"6546";"2312";"3630";"294";"202"
"2025-09-10 23:01:00";"6546";"2261";"3630";"294";"202"
"2025-09-10 22:58:00";"6545,75";"2236";"3593";"73";"17"
"2025-09-10 20:48:00";"6545,75";"1625";"3593";"73";"17"
"2025-09-10 20:14:00";"6545,75";"1473";"3593";"73";"17"
"2025-09-10 18:31:00";"6545,75";"829";"3593";"73";"17"
"2025-09-10 20:49:00";"6545,5";"1656";"4014";"-280";"162"
"2025-09-11 02:32:00";"6545,5";"2853";"4014";"-280";"162"
"2025-09-10 20:15:00";"6545,5";"1491";"4014";"-280";"162"
"2025-09-10 23:02:00";"6545,5";"2270";"4014";"-280";"162"
"2025-09-10 18:59:00";"6545,5";"1045";"4014";"-280";"162"
"2025-09-11 02:05:00";"6545,5";"2512";"4014";"-280";"162"
"2025-09-10 23:15:00";"6545,5";"2367";"4014";"-280";"162"
"2025-09-10 17:05:00";"6539,75";"175";"1074";"88";"56"
"2025-09-10 17:20:00";"6539,5";"475";"1124";"-276";"-108"
"2025-09-10 17:08:00";"6539,5";"306";"1124";"-276";"-108"
"2025-09-10 17:19:00";"6539";"378";"750";"-204";"-70"
"2025-09-10 17:00:00";"6536,75";"160";"208";"-48";"-28"
