"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(DEC25)";"BUY";"-118,75";"-19";"5";"-0,75";"6665";"6660,25";"2025-09-25 10:16:40";"2025-09-25 10:23:45";"1,3";"6";"150";"35689763504";"35689784004"
"MES(DEC25)";"BUY";"-125";"-20";"5";"-0,75";"6665";"6660";"2025-09-25 10:16:40";"2025-09-25 10:23:45";"1,2";"6";"150";"35689763504";"35689784004"
"MES(DEC25)";"BUY";"-420";"-56";"6";"-0,9";"6669,5";"6655,5";"2025-09-25 09:23:09";"2025-09-25 10:07:56";"1";"14,5";"435";"35689500704";"35689721904"
"MES(DEC25)";"BUY";"-285";"-57";"4";"-0,6";"6669,5";"6655,25";"2025-09-25 09:23:09";"2025-09-25 10:07:56";"1";"14,5";"290";"35689500704";"35689721904"
"MES(DEC25)";"BUY";"-16,25";"-13";"1";"-0,15";"6696,25";"6693";"2025-09-25 03:12:43";"2025-09-25 03:46:03";"0,9";"3";"15";"35689015404";"35689039904"
"MES(DEC25)";"BUY";"-41,25";"-11";"3";"-0,45";"6696,25";"6693,5";"2025-09-25 03:12:43";"2025-09-25 03:46:03";"1,1";"3";"45";"35689015404";"35689039904"
"MES(DEC25)";"BUY";"-25";"-10";"2";"-0,3";"6696,25";"6693,75";"2025-09-25 03:12:43";"2025-09-25 03:46:03";"1,2";"3";"30";"35689015404";"35689039904"
"MES(DEC25)";"BUY";"-60";"-12";"4";"-0,6";"6696,25";"6693,25";"2025-09-25 03:12:43";"2025-09-25 03:46:03";"1";"3";"60";"35689015404";"35689039904"
"MES(DEC25)";"SELL";"437,5";"35";"10";"-1,5";"6712,75";"6704";"2025-09-24 09:28:05";"2025-09-24 10:41:29";"0,7";"6,5";"325";"35688339504";"35688508704"
"MES(DEC25)";"SELL";"62,5";"5";"10";"-1,5";"6715,5";"6714,25";"2025-09-24 09:05:18";"2025-09-24 09:16:24";"0,4";"0,5";"25";"35688273004";"35688312504"
