"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"FGBL(SEP25)";"SELL";"-300";"-10";"3";"2,52";"129,24";"129,34";"2025-08-20 13:31:55";"2025-08-20 14:13:05";"1";"0,1";"300";"35661347904";"35661348304"
"FGBL(SEP25)";"SELL";"-150";"-5";"3";"2,52";"129,26";"129,31";"2025-08-20 11:35:43";"2025-08-20 11:50:34";"1";"0,05";"150";"35661308804";"35661311904"
"FGBL(SEP25)";"BUY";"-180";"-6";"3";"2,52";"129,32";"129,26";"2025-08-20 11:00:55";"2025-08-20 11:35:07";"1";"0,06";"180";"35661297904";"35661308604"
