"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(DEC25)";"SELL";"187,5";"30";"5";"-0,75";"6649,75";"6642,25";"2025-10-17 10:26:10";"2025-10-17 10:36:52";"0";"0";"0";"35710174104";"35710217104"
"MES(DEC25)";"SELL";"181,25";"29";"5";"-0,75";"6649,5";"6642,25";"2025-10-17 10:26:10";"2025-10-17 10:36:52";"0";"0";"0";"35710174104";"35710217104"
"MES(DEC25)";"BUY";"2,5";"1";"2";"-0,3";"6685,25";"6685,5";"2025-10-17 09:27:10";"2025-10-17 09:27:22";"4,2";"1,25";"13";"35709816904";"35709817204"
"MES(DEC25)";"BUY";"20";"2";"8";"-1,2";"6685,25";"6685,75";"2025-10-17 09:27:10";"2025-10-17 09:27:22";"2,5";"1,25";"50";"35709816904";"35709817204"
"MES(DEC25)";"BUY";"25";"2";"10";"-1,5";"6684,5";"6685";"2025-10-17 09:24:30";"2025-10-17 09:24:52";"1,5";"0,75";"38";"35709804904";"35709809604"
"MES(DEC25)";"BUY";"112,5";"9";"10";"-1,5";"6682,25";"6684,5";"2025-10-17 09:20:23";"2025-10-17 09:20:30";"0";"0";"0";"35709786204";"35709787004"
"MES(DEC25)";"BUY";"300";"24";"10";"-1,5";"6687,5";"6693,5";"2025-10-17 09:13:33";"2025-10-17 09:15:26";"0,2";"1,25";"63";"35709760504";"35709771604"
