"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(SEP25)";"SELL";"-285";"-38";"6";"-0,9";"6472";"6481,5";"2025-09-01 08:35:45";"2025-09-01 10:23:06";"1";"9,5";"285";"35670082804";"35670083504"
"MES(SEP25)";"SELL";"60";"8";"6";"-0,9";"6473,75";"6471,75";"2025-09-01 08:29:43";"2025-09-01 08:35:23";"0,4";"0,75";"23";"35670046404";"35670082204"
"MES(JUN25)";"BUY";"-61,25";"-49";"1";"-0,15";"5649";"5636,75";"2025-05-06 14:47:49";"2025-05-06 14:52:51";"1";"12,25";"61";"35583294404";"35583303604"
"MES(JUN25)";"BUY";"-240";"-48";"4";"-0,6";"5649";"5637";"2025-05-06 14:47:49";"2025-05-06 14:52:51";"1";"12";"240";"35583294404";"35583303604"
"MES(JUN25)";"BUY";"-176,25";"-47";"3";"-0,45";"5649";"5637,25";"2025-05-06 14:47:49";"2025-05-06 14:52:51";"1";"11,75";"176";"35583294404";"35583303604"
"MES(JUN25)";"BUY";"-115";"-46";"2";"-0,3";"5649";"5637,5";"2025-05-06 14:47:49";"2025-05-06 14:52:51";"1";"11,5";"115";"35583294404";"35583303604"
"MES(JUN25)";"BUY";"0";"0";"3";"-0,45";"5649";"5649";"2025-05-06 14:32:40";"2025-05-06 14:46:16";"28,8";"5,75";"86";"35583275704";"35583292604"
"MES(JUN25)";"SELL";"-1,25";"-1";"1";"-0,15";"5659,5";"5659,75";"2025-05-05 07:47:41";"2025-05-05 07:47:48";"0";"0";"0";"35581117204";"35581117704"
"MES(JUN25)";"SELL";"-2,5";"-1";"2";"-0,3";"5650,25";"5650,5";"2025-05-01 11:08:06";"2025-05-01 11:08:12";"0";"0";"0";"35579104404";"35579105004"
"MES(JUN25)";"BUY";"-2,5";"-1";"2";"-0,3";"5502,75";"5502,5";"2025-04-30 09:39:52";"2025-04-30 09:40:03";"0,8";"0,25";"3";"35577610204";"35577610904"
"MES(JUN25)";"SELL";"-17,5";"-7";"2";"-0,3";"5532,75";"5534,5";"2025-04-25 03:44:57";"2025-04-25 03:46:07";"1,1";"2";"20";"35572496704";"35572499204"
"MES(JUN25)";"SELL";"45";"18";"2";"-0,3";"5418,5";"5414";"2025-04-23 12:36:35";"2025-04-23 12:37:29";"0";"0";"0";"35570558604";"35570560604"
"MES(JUN25)";"SELL";"21,25";"17";"1";"-0,15";"5418,5";"5414,25";"2025-04-23 12:36:35";"2025-04-23 12:37:25";"0";"0";"0";"35570558604";"35570560404"
"MES(JUN25)";"SELL";"20";"16";"1";"-0,15";"5418,5";"5414,5";"2025-04-23 12:36:35";"2025-04-23 12:37:24";"0";"0";"0";"35570558604";"35570560504"
"MES(JUN25)";"BUY";"117,5";"47";"2";"-0,3";"5287";"5298,75";"2025-04-10 12:47:05";"2025-04-10 12:51:16";"1,2";"13,75";"138";"35557091904";"35557122004"
"MES(JUN25)";"BUY";"103,75";"83";"1";"-0,15";"5270,5";"5291,25";"2025-04-10 12:43:50";"2025-04-10 12:45:47";"0,2";"4,25";"21";"35557074904";"35557085604"
"MES(JUN25)";"BUY";"107,5";"86";"1";"-0,15";"5248,5";"5270";"2025-04-10 12:34:24";"2025-04-10 12:43:25";"0,3";"7";"35";"35557013004";"35557073504"
"MES(JUN25)";"BUY";"212,5";"85";"2";"-0,3";"5248,5";"5269,75";"2025-04-10 12:34:24";"2025-04-10 12:43:25";"0,3";"7";"70";"35557013004";"35557073504"
"MES(JUN25)";"BUY";"105";"84";"1";"-0,15";"5248,5";"5269,5";"2025-04-10 12:34:24";"2025-04-10 12:43:25";"0,3";"7";"35";"35557013004";"35557073504"
"MES(JUN25)";"BUY";"-191,25";"-153";"1";"-0,15";"5265,25";"5227";"2025-04-10 12:03:29";"2025-04-10 12:10:05";"1,1";"42,25";"211";"35556926404";"35556948504"
"MES(JUN25)";"BUY";"-238,75";"-191";"1";"-0,15";"5274,75";"5227";"2025-04-10 12:03:13";"2025-04-10 12:10:05";"1,1";"51,75";"259";"35556924604";"35556948504"
"MES(JUN25)";"BUY";"395";"79";"4";"-0,6";"5034,75";"5054,5";"2025-04-09 11:12:14";"2025-04-09 11:27:49";"0";"0";"0";"35554484504";"35554532904"
"MES(JUN25)";"SELL";"-133,75";"-107";"1";"-0,15";"5006,5";"5033,25";"2025-04-09 10:56:41";"2025-04-09 11:12:02";"1";"27";"135";"35554433404";"35554483204"
"MES(JUN25)";"SELL";"-265";"-106";"2";"-0,3";"5006,5";"5033";"2025-04-09 10:56:41";"2025-04-09 11:12:02";"1";"27";"270";"35554433404";"35554483204"
"MES(JUN25)";"SELL";"-131,25";"-105";"1";"-0,15";"5006,5";"5032,75";"2025-04-09 10:56:41";"2025-04-09 11:12:02";"1";"27";"135";"35554433404";"35554483204"
"MES(JUN25)";"BUY";"-215";"-86";"2";"-0,3";"5028,75";"5007,25";"2025-04-09 10:51:22";"2025-04-09 10:56:10";"1";"21,5";"215";"35554420804";"35554432004"
"MES(JUN25)";"SELL";"-106,25";"-85";"1";"-0,15";"5011,25";"5032,5";"2025-04-09 10:41:09";"2025-04-09 10:49:11";"1,2";"25,5";"128";"35554379304";"35554414104"
