"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(SEP25)";"SELL";"150";"12";"10";"-1,5";"6592";"6589";"2025-09-12 10:27:40";"2025-09-12 14:37:03";"0";"0";"0";"35680756804";"35681053004"
"MES(SEP25)";"SELL";"475";"38";"10";"-1,5";"6598,5";"6589";"2025-09-12 14:20:30";"2025-09-12 14:37:03";"0";"0";"0";"35681035104";"35681053004"
"MES(SEP25)";"SELL";"137,5";"11";"10";"-1,5";"6591,75";"6589";"2025-09-12 10:27:41";"2025-09-12 14:37:03";"0";"0";"0";"35680757104";"35681053004"
"MES(SEP25)";"SELL";"-437,5";"-35";"10";"-1,5";"6588,25";"6597";"2025-09-12 09:16:21";"2025-09-12 09:55:15";"1";"9";"450";"35680623004";"35680623204"
