"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(SEP25)";"BUY";"80";"64";"1";"-0,15";"6475,75";"6491,75";"2025-09-05 13:18:10";"2025-09-05 14:16:59";"0";"0";"0";"35675547304";"35675547704"
"MES(SEP25)";"BUY";"80";"64";"1";"-0,15";"6475,75";"6491,75";"2025-09-05 13:18:09";"2025-09-05 14:16:59";"0";"0";"0";"35675547304";"35675547404"
"MES(SEP25)";"BUY";"80";"64";"1";"-0,15";"6475,75";"6491,75";"2025-09-05 13:18:09";"2025-09-05 14:16:59";"0";"0";"0";"35675547304";"35675547704"
"MES(SEP25)";"BUY";"80";"64";"1";"-0,15";"6475,75";"6491,75";"2025-09-05 13:18:10";"2025-09-05 14:16:59";"0";"0";"0";"35675547304";"35675547704"
"MES(SEP25)";"BUY";"240";"64";"3";"-0,45";"6475,75";"6491,75";"2025-09-05 13:18:10";"2025-09-05 14:16:59";"0";"0";"0";"35675547304";"35675547404"
"MES(SEP25)";"BUY";"400";"64";"5";"-0,75";"6475,75";"6491,75";"2025-09-05 13:18:10";"2025-09-05 14:16:59";"0";"0";"0";"35675547304";"35675547504"
"MES(SEP25)";"BUY";"-195";"-78";"2";"-0,3";"6486";"6466,5";"2025-09-05 11:13:50";"2025-09-05 12:57:45";"1,1";"21,25";"213";"35675366904";"35675367304"
