"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(SEP25)";"BUY";"-146,25";"-13";"9";"-1,35";"6502";"6498,75";"2025-09-08 13:22:03";"2025-09-08 14:03:00";"0";"0";"0";"35676447404";"35676513704"
"MES(SEP25)";"SELL";"46,25";"37";"1";"-0,15";"6502";"6492,75";"2025-09-08 12:37:03";"2025-09-08 12:52:36";"0";"0,25";"1";"35676352104";"35676352204"
"MES(SEP25)";"SELL";"46,25";"37";"1";"-0,15";"6502";"6492,75";"2025-09-08 12:37:03";"2025-09-08 12:52:36";"0";"0,25";"1";"35676352104";"35676352204"
"MES(SEP25)";"SELL";"231,25";"37";"5";"-0,75";"6502";"6492,75";"2025-09-08 12:37:03";"2025-09-08 12:52:36";"0";"0,25";"6";"35676352104";"35676352204"
"MES(SEP25)";"SELL";"17,5";"2";"7";"-1,05";"6504,75";"6504,25";"2025-09-08 10:47:52";"2025-09-08 12:33:00";"15,6";"8";"280";"35676206604";"35676348304"
