"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(JUN25)";"BUY";"-176,25";"-47";"3";"-0,45";"5649";"5637,25";"2025-05-06 14:47:49";"2025-05-06 14:52:51";"1";"11,75";"176";"35583294404";"35583303604"
"MES(JUN25)";"BUY";"-61,25";"-49";"1";"-0,15";"5649";"5636,75";"2025-05-06 14:47:49";"2025-05-06 14:52:51";"1";"12,25";"61";"35583294404";"35583303604"
"MES(JUN25)";"BUY";"-240";"-48";"4";"-0,6";"5649";"5637";"2025-05-06 14:47:49";"2025-05-06 14:52:51";"1";"12";"240";"35583294404";"35583303604"
"MES(JUN25)";"BUY";"-115";"-46";"2";"-0,3";"5649";"5637,5";"2025-05-06 14:47:49";"2025-05-06 14:52:51";"1";"11,5";"115";"35583294404";"35583303604"
"MES(JUN25)";"BUY";"0";"0";"3";"-0,45";"5649";"5649";"2025-05-06 14:32:40";"2025-05-06 14:46:16";"28,8";"5,75";"86";"35583275704";"35583292604"
"MES(JUN25)";"SELL";"-1,25";"-1";"1";"-0,15";"5659,5";"5659,75";"2025-05-05 07:47:41";"2025-05-05 07:47:48";"0";"0";"0";"35581117204";"35581117704"
"MES(JUN25)";"SELL";"-2,5";"-1";"2";"-0,3";"5650,25";"5650,5";"2025-05-01 11:08:06";"2025-05-01 11:08:12";"0";"0";"0";"35579104404";"35579105004"
"MES(JUN25)";"BUY";"-2,5";"-1";"2";"-0,3";"5502,75";"5502,5";"2025-04-30 09:39:52";"2025-04-30 09:40:03";"0,8";"0,25";"3";"35577610204";"35577610904"
"MES(JUN25)";"SELL";"-17,5";"-7";"2";"-0,3";"5532,75";"5534,5";"2025-04-25 03:44:57";"2025-04-25 03:46:07";"1,1";"2";"20";"35572496704";"35572499204"
"MES(JUN25)";"SELL";"45";"18";"2";"-0,3";"5418,5";"5414";"2025-04-23 12:36:35";"2025-04-23 12:37:29";"0";"0";"0";"35570558604";"35570560604"
"MES(JUN25)";"SELL";"21,25";"17";"1";"-0,15";"5418,5";"5414,25";"2025-04-23 12:36:35";"2025-04-23 12:37:25";"0";"0";"0";"35570558604";"35570560404"
"MES(JUN25)";"SELL";"20";"16";"1";"-0,15";"5418,5";"5414,5";"2025-04-23 12:36:35";"2025-04-23 12:37:24";"0";"0";"0";"35570558604";"35570560504"
