"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(DEC25)";"SELL";"12,5";"1";"10";"-1,5";"6669,5";"6669,25";"2025-09-16 09:26:49";"2025-09-16 09:27:35";"1";"0,25";"13";"35682482004";"35682498804"
"MES(DEC25)";"SELL";"450";"72";"5";"-0,75";"6690";"6672";"2025-09-16 06:06:15";"2025-09-16 08:51:45";"0,1";"1,5";"38";"35682175004";"35682175104"
"MES(DEC25)";"SELL";"90";"72";"1";"-0,15";"6690";"6672";"2025-09-16 06:06:15";"2025-09-16 08:51:45";"0,1";"1,5";"8";"35682175004";"35682175104"
"MES(DEC25)";"SELL";"270";"72";"3";"-0,45";"6690";"6672";"2025-09-16 06:06:15";"2025-09-16 08:51:45";"0,1";"1,5";"23";"35682175004";"35682175104"
"MES(DEC25)";"SELL";"90";"72";"1";"-0,15";"6690";"6672";"2025-09-16 06:06:15";"2025-09-16 08:51:45";"0,1";"1,5";"8";"35682175004";"35682175104"
"MES(DEC25)";"BUY";"-37,5";"-3";"10";"-1,5";"6686,25";"6685,5";"2025-09-16 02:38:18";"2025-09-16 02:42:36";"2";"1,5";"75";"35682091004";"35682092704"
"MES(DEC25)";"SELL";"-125";"-10";"10";"-1,5";"6683,75";"6686,25";"2025-09-16 01:54:57";"2025-09-16 02:38:11";"1,3";"3,25";"163";"35682075004";"35682090904"
"MES(DEC25)";"SELL";"-356,25";"-19";"15";"-2,25";"6671,75";"6676,5";"2025-09-15 13:10:06";"2025-09-15 15:18:43";"1,8";"8,75";"656";"35681925904";"35682001004"
"MES(DEC25)";"SELL";"-162,5";"-13";"10";"-1,5";"6671,5";"6674,75";"2025-09-15 12:05:12";"2025-09-15 12:50:02";"1,1";"3,5";"175";"35681781204";"35681861804"
