"Symbol";"Side";"P&L";"Pips";"Size";"Fee";"Open Price";"Close Price";"Open Date";"Close Date";"Risk";"Drawdown";"Cash Drawdown";"Open Order";"Close Order"
"MES(DEC25)";"SELL";"12,5";"1";"10";"-1,5";"6746,25";"6746";"2025-09-23 09:44:06";"2025-09-23 09:48:53";"1,9";"0,5";"25";"35687486404";"35687494304"
"MES(DEC25)";"SELL";"150";"12";"10";"-1,5";"6749";"6746";"2025-09-23 09:41:53";"2025-09-23 09:48:53";"0,1";"0,25";"13";"35687478304";"35687494304"
"MES(DEC25)";"SELL";"150";"12";"10";"-1,5";"6748,75";"6745,75";"2025-09-23 09:26:06";"2025-09-23 09:36:41";"0,6";"1,75";"88";"35687457504";"35687475804"
"MES(DEC25)";"SELL";"-105";"-14";"6";"-0,9";"6749,25";"6752,75";"2025-09-23 02:56:47";"2025-09-23 03:20:50";"1,1";"3,75";"113";"35687124304";"35687134104"
"MES(DEC25)";"SELL";"-75";"-15";"4";"-0,6";"6749,25";"6753";"2025-09-23 02:56:47";"2025-09-23 03:20:50";"1";"3,75";"75";"35687124304";"35687134104"
"MES(DEC25)";"SELL";"-180";"-16";"9";"-1,35";"6747";"6751";"2025-09-22 15:16:05";"2025-09-23 02:46:10";"1,8";"7";"315";"35687028204";"35687117204"
"MES(DEC25)";"SELL";"-250";"-20";"10";"-1,5";"6746,25";"6751,25";"2025-09-22 15:26:35";"2025-09-23 02:46:10";"1,6";"7,75";"388";"35687029704";"35687117204"
"MES(DEC25)";"SELL";"-21,25";"-17";"1";"-0,15";"6747";"6751,25";"2025-09-22 15:16:05";"2025-09-23 02:46:10";"1,7";"7";"35";"35687028204";"35687117204"
